Participant ID,Group,What's your answer? (Enter the price),How confident are you in your answer?,How much effort did you need to complete the task?,What's your answer? (Enter the first word of the discussion title),How confident are you in your answer?,How much effort did you need to complete the task?,What's your answer? (Enter the product name and the price),How confident are you in your answer?,How much effort did you need to complete the task?,What's your answer? (Enter the price),How confident are you in your answer?,How much effort did you need to complete the task?,What's your answer? (Enter the number),How confident are you in your answer?,How much effort did you need to complete the task?,What's your answer? (Enter the apartment name),How confident are you in your answer?,How much effort did you need to complete the task?,What's your answer?  (Enter the first word of the post title),How confident are you in your answer?,How much effort did you need to complete the task?,What's your answer? (Enter the team),How confident are you in your answer?,How much effort did you need to complete the task?
1,A,61,7,2,The banter thread,6,2,69.99,6,2,345,6,2,779,6,1,Manchester Place Apartment,5,2,It's on prime video,7,1,New England Patriots,7,3
2,B,61,4,7,the banter,6,3,flybird 69.99,5,3,345,6,2,779,2,5,14229,6,5,It‘s,5,5,New England,5,2
3,A,61,7,7,"""Welcome to the new and improved Discourse!""",6,2,Utility Bench - $299.99,5,2,$345,5,4,779,7,1,10 Ferris St,7,1,Anyone,7,2,New England Patriots,7,2
4,B,61,7,5,Stream,7,3,Nordic Track -- Treadmill Mat - Black,3,5,265,5,4,1000,1,7,10 Ferris St,7,2,It‘s,6,3,New England Patriots,7,1
5,A,61,4,6,Welcome,2,2,NordicTrack - Treadmill Mat - Black $69.99,5,2,more than 345 but don't know exact,3,5,779,7,3,Manchester Place Apartments,2,6,It's,7,1,New England Patriots,2,7
6,B,61,6,4,t,5,3,Treadmill Mat - Black; $69.99,6,3,$345,5,3,779,6,3,Friendship Meadows LDHA,5,4,It's,5,3,New England Patriots,6,2
7,A,$61,6,6,The Banter Thread,6,7,NordicTrack - Treadmill Mat - Black. $69.99,7,5,$345,5,7,1024 (all languages),7,7,Highland Park ,4,7,Season 3- Vasectomy,7,6,New England Patriots,7,6
8,A,61,7,3,The banter Thread,5,5,NordicTrack- Treadmill Mat-Black 69.99dollars,7,1,345,7,4,779,7,2,Manchester Place Apartments,2,6,It's,7,4,New England Patriots,5,2
9,A,61,7,1,The,5,3,"NordicTrack-Treadmill Mat-Black, $69.99",7,1,265,5,3,780,6,3,Manchester Place Apartments,5,1,It's,6,1,New England Patriots,6,5
10,A,$61,6,3,The discussions with the most replies has 5.5k replies,5,5,$69.99,6,3,$345,6,3,780,6,2,"Should be lower than $500, rather than 750 given by the agent",5,6,Anyone,6,3,1,6,3
11,B,61,3,6,Welcome,6,2,69.99,6,6,345,6,4,780,2,6,725,7,2,It's,7,3,New England Patriots,6,2
12,B,780,5,6,Welcome,5,3,599,5,6,345,6,4,1,6,5,Manchester Place Apartment,6,5,It's,6,5,New England Patriots,5,4
13,B,61,6,4,The Banter Thread,2,6,"NordicTrack Treadmill Mat - Black, $69.99",6,2,$345,6,4,780,2,7,$725,2,6,Its on prime video..,6,2,New England Patriots ,7,1
14,B,61,5,7,The,6,2,69.99,4,6,345,6,2,780,1,7,464,6,1,It,2,5,New England Patriots,7,1
